"id","type","topic","question","options","correctAnswer","answerText","explanation","correctedFromDump"
"127","hotspot","Compute","For each of the following statements, select Yes if the statement is true. Otherwise, select No. 1) You can use Availability Zones in Azure to protect Azure virtual machines from a datacenter failure. 2) You can use Availability Zones in Azure to protect Azure virtual machines from a region failure. 3) You can use Availability Zones in Azure to protect Azure managed disks from a datacenter failure.","","Yes, No, Yes","1) Yes 2) No 3) Yes","Availability zones protect VMs and zone-redundant managed disks from a datacenter failure within a region. They do not protect against an entire region failure, which requires multi-region deployment or geo-redundancy.","False"
"128","hotspot","Governance","For each of the following statements, select Yes if the statement is true. Otherwise, select No. 1) An Azure subscription can have multiple account administrators. 2) An Azure subscription can be managed by using a Microsoft account only. 3) An Azure resource group can contain multiple Azure subscriptions.","","No, No, No","1) No 2) No 3) No","A subscription has a single account administrator. It can be managed with Microsoft accounts or Azure AD (work/school) accounts, so 'Microsoft account only' is false. Resource groups belong to a subscription and cannot contain subscriptions.","False"
"129","hotspot","Cloud Concepts","To complete the sentence, select the appropriate option. An Azure region [answer].","","contains one or more data centers that are connected by using a low-latency network","contains one or more data centers that are connected by using a low-latency network","An Azure region is a set of datacenters within a latency-defined perimeter connected by a dedicated low-latency network. It is not tied to subsidiary offices, is not limited to Europe/Americas, and uses low-latency (not high-latency) networking.","False"
"130","hotspot","Identity","For each of the following statements, select Yes if the statement is true. Otherwise, select No. 1) To use Azure AD credentials to sign in to a computer that runs Windows 10, the computer must be joined to Azure AD. 2) Users in Azure AD are organized by using resource groups. 3) Azure AD groups support dynamic membership rules.","","Yes, No, Yes","1) Yes 2) No 3) Yes","Signing in to Windows 10 with Azure AD (Microsoft Entra ID) credentials requires the device to be Azure AD joined. Users are organized with groups, not resource groups, and Azure AD supports dynamic membership rules based on user attributes.","False"
"131","multi","Compute","You plan to deploy several Azure virtual machines. You need to ensure that the services running on the virtual machines remain available if a single data center fails. What are two possible solutions? Each correct answer presents a complete solution.","A. Deploy the virtual machines to two or more availability zones. | B. Deploy the virtual machines to two or more resource groups. | C. Deploy the virtual machines to a scale set. | D. Deploy the virtual machines to two or more regions.","A,D","Deploy the virtual machines to two or more availability zones; Deploy the virtual machines to two or more regions.","Availability zones place VMs in physically separate datacenters within a region, and multiple regions provide even broader geographic separationâ€”both survive a single datacenter failure. Resource groups are logical only, and a plain scale set does not guarantee cross-datacenter distribution.","False"
"132","hotspot","Networking","To complete the sentence, select the appropriate option. You plan to deploy 20 virtual machines to an Azure environment. To ensure that a virtual machine named VM1 cannot connect to the other virtual machines, VM1 must [answer].","","be deployed to a separate virtual network.","be deployed to a separate virtual network.","Azure automatically routes traffic between subnets in the same virtual network, so isolation requires placing VM1 in a separate virtual network. A different OS, resource group, or number of NICs does not prevent connectivity within a VNet.","False"
"133","drag-drop","AI & Big Data","Match the Azure service to the appropriate description. Services: Azure Cosmos DB, Azure HDInsight, Azure Synapse Analytics. Descriptions: (1) A fully managed data warehouse with integral security at every level of scale at no extra cost; (2) A globally distributed database that supports NoSQL; (3) Managed Apache Hadoop clusters in the cloud that enable you to process massive amounts of data.","","1=Azure Synapse Analytics, 2=Azure Cosmos DB, 3=Azure HDInsight","Data warehouse = Azure Synapse Analytics; globally distributed NoSQL = Azure Cosmos DB; managed Hadoop clusters = Azure HDInsight","Synapse Analytics (formerly SQL Data Warehouse) is the managed enterprise data warehouse, Cosmos DB is the globally distributed NoSQL database, and HDInsight provides managed open-source Apache Hadoop/Spark clusters.","False"
"134","hotspot","Storage","For each of the following statements, select Yes if the statement is true. Otherwise, select No. 1) The Archive access tier is set at the storage account level. 2) The Hot access tier is recommended for data that is accessed and modified frequently. 3) The Cool access tier is recommended for long term backups.","","No, Yes, No","1) No 2) Yes 3) No","Only the hot and cool tiers can be set at the account level; archive is set per blob. Hot is for frequently accessed/modified data, while long-term backups belong in the archive tier (cool is for short-term, infrequently accessed data).","True"
"135","single","Compute","What is the most severe failure from which an Azure Availability Zone can be used to protect access to Azure services?","A. a physical server failure | B. an Azure region failure | C. a storage failure | D. an Azure data center failure","D","an Azure data center failure","Availability zones are separate datacenters within a region, so they protect against an entire datacenter failureâ€”the most severe listed. They do not protect against a full region failure, which requires multi-region deployment.","False"
"136","single","Security","You need to purchase a third-party virtual security appliance that you will deploy to an Azure subscription. What should you use?","A. Azure subscriptions | B. Azure Security Center | C. Azure Marketplace | D. Microsoft Store","C","Azure Marketplace","Azure Marketplace is where you find and purchase third-party solutions such as virtual security appliances for deployment to Azure. Security Center (Defender for Cloud) assesses security posture and does not sell appliances.","False"
"137","drag-drop","Compute","Match the serverless solution to the correct characteristic. Serverless Solutions: Azure Functions, Azure Logic Apps. Characteristics: (1) Executes code; (2) Is always stateful; (3) Runs only in the cloud.","","1=Azure Functions, 2=Azure Logic Apps, 3=Azure Logic Apps","Executes code = Azure Functions; Is always stateful = Azure Logic Apps; Runs only in the cloud = Azure Logic Apps","Azure Functions runs blocks of event-triggered code. Azure Logic Apps orchestrates stateful workflows and runs as a cloud service, making it the answer for both 'always stateful' and 'runs only in the cloud'.","False"
"138","drag-drop","Governance","Match the Azure governance feature to the correct description. Features: Azure Blueprints, Azure Policy, Azure resource locks, Azure tags. Descriptions: (1) Deploy a repeatable set of Azure resources that comply with standards (role assignments, policies, ARM templates, resource groups); (2) Create and enforce rules/standards that resources must comply with; (3) Prevent resources from being accidentally deleted or modified; (4) Apply metadata to resources for logical organization and billing.","","1=Azure Blueprints, 2=Azure Policy, 3=Azure resource locks, 4=Azure tags","Repeatable compliant deployments = Azure Blueprints; enforce rules/standards = Azure Policy; prevent accidental deletion/modification = Azure resource locks; metadata for organization/billing = Azure tags","Blueprints package role assignments, policies, and ARM templates into repeatable, compliant deployments; Azure Policy enforces resource rules; resource locks prevent accidental deletion or change; tags apply metadata for organization and cost tracking.","False"
"139","hotspot","Compute","Select the answer that correctly completes the sentence. An Availability Zone in Azure has physically separate locations [answer].","","within a single Azure region","within a single Azure region","Availability zones are physically separate locations (datacenters) within a single Azure region. They do not span continents or multiple regions, nor sit within one datacenter.","False"
"140","drag-drop","Compute","Match the Azure services to the correct descriptions. Services: Azure Functions, Azure App Service, Azure virtual machines, Azure Container Instances. Descriptions: (1) Provide operating system virtualization; (2) Provide a portable environment for virtualized applications; (3) Used to build, deploy, and scale web apps; (4) Provide a platform for serverless code.","","1=Azure virtual machines, 2=Azure Container Instances, 3=Azure App Service, 4=Azure Functions","OS virtualization = Azure virtual machines; portable app environment = Azure Container Instances; build/deploy/scale web apps = Azure App Service; serverless code = Azure Functions","VMs virtualize an operating system, Container Instances run portable containerized apps, App Service is the managed platform for web apps, and Azure Functions runs event-driven serverless code.","False"
"141","hotspot","Compute","To answer, select the appropriate option. You have several virtual machines in an Azure subscription. You create a new subscription. [answer].","","The virtual machines can be moved to the new subscription.","The virtual machines can be moved to the new subscription.","VMs and their associated resources can be moved to another subscription using the Azure portal, without a requirement that they share a resource group or run a particular Windows Server version.","False"
"142","single","Security","You need to purchase a third-party virtual security appliance that you will deploy to an Azure subscription. What should you use?","A. Azure subscriptions | B. Microsoft Defender for Cloud | C. Azure Marketplace | D. Microsoft Store","C","Azure Marketplace","Azure Marketplace lists and sells third-party solutions such as network/security virtual appliances for deployment to Azure. Microsoft Defender for Cloud assesses security posture and does not sell appliances.","False"
"143","hotspot","IoT","Select the answer that correctly completes the sentence. [answer] is a highly secure IoT solution that includes a microcontroller unit (MCU) and a customized Linux operating system. Options: Azure Arc, Azure IoT Central, Azure IoT Hub, Azure Sphere.","","Azure Sphere","Azure Sphere","Azure Sphere is a secured IoT solution combining a certified microcontroller (MCU), a customized Linux-based OS, and a cloud security service. IoT Hub and IoT Central are cloud services, and Azure Arc extends management to hybrid resources.","False"
"144","single","Compute","You plan to deploy a service to Azure virtual machines. You need to ensure that the service will be available if a datacenter fails. What should you use as part of the virtual machine deployment?","A. availability sets | B. proximity placement groups | C. host groups | D. availability zones","D","availability zones","Availability zones are physically separate datacenters within a region, protecting the service from a datacenter failure. Availability sets only protect against rack/hardware failures within one datacenter, and proximity placement/host groups optimize latency or dedicated hosting, not datacenter resilience.","False"
"145","single","Governance","Your company has an Azure subscription that contains resources in several regions. You need to ensure that administrators can only create resources in those regions. What should you use?","A. a read-only lock | B. an Azure policy | C. a management group | D. a reservation","B","an Azure policy","Azure Policy can enforce allowed locations, restricting resource creation to approved regions. A read-only lock only prevents changes, a management group organizes subscriptions, and a reservation is a billing/cost commitment.","False"
"146","hotspot","Cloud Concepts","Complete the sentence: An Azure region ___","","contains one or more data centers that are connected by using a low-latency network","contains one or more data centers that are connected by using a low-latency network","Each Azure region groups datacenters within a latency-defined perimeter connected by a dedicated low-latency network. Regions are not defined by high-latency links or by subsidiary offices/countries.","False"
"147","hotspot","Storage","Complete the sentence: You can use the Azure File Sync agent to sync on-premises data to an Azure ___","","file share","file share","Azure File Sync synchronizes Windows Server files with an Azure file share. It does not sync to blob containers or Data Lake Storage.","False"
"148","single","Networking","What is the function of a Site-to-Site VPN?","A. provides a secure connection between a computer on a public network and the corporate network | B. provides a dedicated private connection to Azure that does NOT travel over the internet | C. provides a connection from an on-premises VPN device to an Azure VPN gateway","C","provides a connection from an on-premises VPN device to an Azure VPN gateway","A Site-to-Site VPN links an on-premises VPN device to an Azure VPN gateway over an IPsec/IKE tunnel. Option A describes Point-to-Site, and B describes ExpressRoute.","False"
"149","drag-drop","Cloud Concepts","Match the cloud service models to the appropriate offerings: Azure App Service, Azure virtual machines, Microsoft Dynamics 365.","","Azure App Service=PaaS; Azure virtual machines=IaaS; Microsoft Dynamics 365=SaaS","Azure App Service = Platform as a service (PaaS); Azure virtual machines = Infrastructure as a service (IaaS); Microsoft Dynamics 365 = Software as a service (SaaS)","App Service is a managed platform (PaaS), virtual machines are provisioned infrastructure (IaaS), and Dynamics 365 is a finished application delivered as SaaS.","False"
"150","drag-drop","Cloud Concepts","Match the cloud service models to the appropriate solutions: A cloud-based file server, A cloud-based accounting system, A cloud-based service for custom apps.","","cloud-based file server=IaaS; cloud-based accounting system=SaaS; cloud-based service for custom apps=PaaS","A cloud-based file server = Infrastructure as a service (IaaS); A cloud-based accounting system = Software as a service (SaaS); A cloud-based service for custom apps = Platform as a service (PaaS)","A file server maps to IaaS (compute/storage infrastructure), a ready-made accounting system is SaaS, and a platform for building/hosting custom apps is PaaS.","False"
"151","multi","Compute","You need to manage containers. Which two services can you use? Each correct answer presents a complete solution.","A. Azure Virtual Desktop | B. Azure virtual machines | C. Azure Functions | D. Azure Container Instances | E. Azure Kubernetes Service (AKS)","D,E","Azure Container Instances; Azure Kubernetes Service (AKS)","Azure Container Instances runs single containers on demand, and AKS orchestrates containers at scale. Virtual Desktop, VMs, and Functions are not dedicated container-management services.","False"
"152","hotspot","Governance","Complete the sentence: If you need to delegate permissions to several Azure virtual machines simultaneously, you must deploy the Azure virtual machines ___","","to the same resource group","to the same resource group","RBAC permissions applied to a resource group flow to all resources within it, so placing the VMs in the same resource group lets you delegate permissions once. Region, ARM template, or availability zone do not control permission delegation.","False"
"153","yesno","Compute","You plan to deploy several Azure virtual machines. You need to ensure the services running on the virtual machines are available if a single data center fails. Solution: You deploy the virtual machines to two or more availability zones. Does this meet the goal?","A. Yes | B. No","A","Yes","Availability zones are physically separate datacenters within a region, each with independent power, cooling, and networking, so deploying across two or more zones protects against a single datacenter failure.","False"
"154","single","Databases","Evaluate the underlined text: One of the benefits of Azure SQL Data Warehouse is that high availability is built into the platform. If it makes the statement correct, select 'No change is needed'. Otherwise select the answer that makes the statement correct.","A. No change is needed | B. automatic scaling | C. data compression | D. versioning","A","No change is needed","Azure SQL Data Warehouse (now Azure Synapse Analytics) is a PaaS service with high availability built into the platform, so the statement is correct as written.","False"
"155","yesno","Compute","You plan to deploy several Azure virtual machines. You need to ensure the services running on the virtual machines are available if a single data center fails. Solution: You deploy the virtual machines to two or more regions. Does this meet the goal?","A. Yes | B. No","A","Yes","Each region contains multiple datacenters, so deploying VMs across two or more regions keeps services available if a single datacenter (or region) fails.","False"
"156","hotspot","Compute","Complete the sentence: An Azure container instance is an example of an Azure ___","","compute service","compute service","Azure Container Instances is a compute service that hosts and runs containers. It is not an identity, networking, or storage service.","False"
"157","single","Networking","At which OSI layer does ExpressRoute operate?","A. Layer 2 | B. Layer 3 | C. Layer 5 | D. Layer 7","B","Layer 3","ExpressRoute provides Layer 3 (network layer) connectivity between an on-premises network and the Microsoft Cloud through a connectivity provider.","False"
"158","hotspot","Monitoring","Complete the sentence: Application Insights is a feature of ___","","Azure Monitor","Azure Monitor","Application Insights is a feature of Azure Monitor that provides application performance management and monitoring for live web apps. It is not part of Advisor, Application Gateway, or Arc.","False"
"159","hotspot","Governance","For each statement, select Yes if true, otherwise No. 1) Azure resources can only access other resources in the same resource group. 2) If you delete a resource group, all the resources in the resource group will be deleted. 3) A resource group can contain resources from multiple Azure regions.","","No, Yes, Yes","1) No  2) Yes  3) Yes","Resources can interact with resources in other resource groups; deleting a resource group deletes all its contained resources; and a resource group can hold resources from multiple regions since it only stores metadata about them.","False"
"160","multi","Storage","You plan to store 20 TB of data in Azure. The data will be accessed infrequently and visualized by using Microsoft Power BI. You need to recommend a storage solution. Which two solutions should you recommend? Each correct answer presents a complete solution.","A. Azure Data Lake | B. Azure Cosmos DB | C. Azure SQL Data Warehouse | D. Azure SQL Database | E. Azure Database for PostgreSQL","A,C","Azure Data Lake; Azure SQL Data Warehouse","Azure Data Lake and Azure SQL Data Warehouse (Synapse Analytics) are built for large-scale analytical data and integrate natively with Power BI. Cosmos DB, SQL Database, and PostgreSQL are transactional/operational stores less suited to this 20 TB analytics scenario.","False"
"161","hotspot","Management Tools","You have an Azure environment that contains 10 web apps. To which URL should you connect to manage all the Azure resources? https:// [admin | portal | www] . [azure | azurewebsites | microsoft] . com","","portal.azure.com","https://portal.azure.com","The Azure portal, at https://portal.azure.com, is the unified web interface for viewing and managing all Azure resources.","False"
"162","drag-drop","Storage","Arrange the storage account redundancy options from the least redundant to the most redundant: Zone-redundant storage (ZRS), Geo-redundant storage (GRS), Locally-redundant storage (LRS).","","LRS, ZRS, GRS","Locally-redundant storage (LRS); Zone-redundant storage (ZRS); Geo-redundant storage (GRS)","LRS keeps copies in a single datacenter, ZRS spreads copies across zones in one region, and GRS also replicates to a secondary regionâ€”making GRS the most redundant.","False"
"163","hotspot","Storage","Complete the sentence: Azure Blob Storage is a ___","","storage service optimized for very large objects, such as video files and bitmaps","storage service optimized for very large objects, such as video files and bitmaps","Blob storage holds unstructured object data such as video, images, and backups. Queue storage handles messages, Azure Files provides mountable shares, and Table storage is the key/attribute store.","False"
"164","yesno","Management Tools","An Azure administrator plans to run a PowerShell script that creates Azure resources. Solution: Run the script from a computer that runs Linux and has the Azure CLI tools installed. Does this meet the goal?","A. Yes | B. No","B","No","A PowerShell script must run in PowerShell with the Azure PowerShell module. The Azure CLI on Linux cannot run a PowerShell script, so the goal is not met.","False"
"165","yesno","Management Tools","An Azure administrator plans to run a PowerShell script that creates Azure resources. Solution: Run the script from a computer that runs Chrome OS and uses Azure Cloud Shell. Does this meet the goal?","A. Yes | B. No","A","Yes","Azure Cloud Shell runs in a browser and includes the Azure PowerShell module preinstalled, so it can run the PowerShell script from Chrome OS.","False"
"166","hotspot","Monitoring","For each statement, select Yes if true, otherwise No. 1) From Azure Service Health, an administrator can view the health of all the services in an Azure environment. 2) From Azure Service Health, an administrator can create a rule to be alerted if an Azure service fails. 3) From Azure Service Health, an administrator can prevent a service failure.","","Yes, Yes, No","1) Yes  2) Yes  3) No","Azure Service Health (including Azure Status) shows service health, and you can configure Service Health alerts to be notified of issues. It cannot prevent a service failure from occurring.","False"
"167","yesno","Management Tools","An Azure administrator plans to run a PowerShell script that creates Azure resources. Solution: Run the script from a computer that runs macOS and has PowerShell Core 6.0 installed. Does this meet the goal?","A. Yes | B. No","B","No","PowerShell Core alone does not include the Azure PowerShell module needed to run Azure cmdlets, so the goal is not met without installing the Az module.","False"
"168","hotspot","Monitoring","You need to view a list of planned maintenance events that can affect the availability of an Azure subscription. Which blade should you use from the Azure portal?","","Service Health","Service Health (Planned Maintenance)","The Service Health blade includes a Planned Maintenance view listing maintenance events that can affect the availability of your subscription.","False"
"169","drag-drop","Management Tools","Match the Azure service to the correct definition: Azure Advisor, Azure Cognitive Services, Azure Application Insights, Azure DevOps.","","deployment of code=Azure DevOps; guidance/recommendations=Azure Advisor; build intelligent AI apps=Azure Cognitive Services; monitors web applications=Azure Application Insights","An integrated solution for deployment of code = Azure DevOps; Guidance and recommendations to improve an Azure environment = Azure Advisor; A simplified tool to build intelligent AI applications = Azure Cognitive Services; Monitors web applications = Azure Application Insights","DevOps delivers CI/CD deployment, Advisor gives best-practice recommendations, Cognitive Services adds prebuilt AI, and Application Insights monitors web apps.","False"
"170","drag-drop","Databases","Match the Azure service to the correct description: Azure SQL Database, Azure SQL Analytics (Synapse), Azure Data Lake Analytics, Azure HDInsight.","","managed relational cloud database=Azure SQL Database; MPP complex queries over petabytes in a relational DB=Azure Synapse Analytics; massively parallel data transformation over petabytes=Azure Data Lake Analytics; open-source distributed big-data processing=Azure HDInsight","A managed relational cloud database service = Azure SQL Database; MPP complex queries across petabytes in a relational database = Azure Synapse Analytics (SQL Data Warehouse); Massively parallel data transformation/processing across petabytes = Azure Data Lake Analytics; Open-source framework for distributed processing of big data in clusters = Azure HDInsight","SQL Database is managed relational, Synapse uses MPP for petabyte relational analytics, Data Lake Analytics runs parallel transformation jobs, and HDInsight provides open-source (Hadoop/Spark) cluster processing.","False"
"171","hotspot","Management Tools","Identify which blades in the Azure portal to use for each task: Monitor the health of Azure services; Browse available virtual machine images; View security recommendations.","","Monitor health=Azure Monitor; Browse VM images=Marketplace; Security recommendations=Advisor","Monitor the health of Azure services = Monitor (Azure Monitor); Browse available virtual machine images = Marketplace; View security recommendations = Advisor","Azure Monitor tracks service health, the Marketplace lists available VM images, and Azure Advisor surfaces security recommendations (via Defender for Cloud).","False"
"172","yesno","Management Tools","You need to create a new Azure virtual machine from a tablet that runs the Android operating system. Solution: You use Bash in Azure Cloud Shell. Does this meet the goal?","A. Yes | B. No","A","Yes","Azure Cloud Shell runs in a browser, and Bash in Cloud Shell can create VMs (via Azure CLI), so it works from an Android tablet.","False"
"173","single","Compute","You have an on-premises application that sends email notifications automatically based on a rule. You plan to migrate the application to Azure and need to recommend a serverless computing solution. What should you include?","A. a web app | B. a server image in Azure Marketplace | C. a logic app | D. an API app","C","a logic app","Azure Logic Apps is a serverless service for automating rule-based workflows such as sending email notifications when events occur. Web apps and API apps are not primarily workflow automation, and a Marketplace server image is not serverless.","False"
"174","single","Networking","You plan to deploy a website to Azure that will be accessed by users worldwide and will host large video files. You need to recommend which Azure feature provides the best video playback experience. What should you recommend?","A. an application gateway | B. an Azure ExpressRoute circuit | C. a content delivery network (CDN) | D. an Azure Traffic Manager profile","C","a content delivery network (CDN)","A CDN caches content on edge servers close to users worldwide, minimizing latency for large video files. Application Gateway and Traffic Manager route/balance traffic, and ExpressRoute is private connectivity, not global content caching.","False"
"175","multi","IoT","Your company plans to deploy several million sensors that will upload data to Azure. Which two Azure resources should you identify? Each correct answer presents part of the solution.","A. Azure Data Lake | B. Azure Queue storage | C. Azure File Storage | D. Azure IoT Hub | E. Azure Notification Hubs","A,D","Azure Data Lake; Azure IoT Hub","Azure IoT Hub ingests telemetry from millions of devices, and Azure Data Lake stores the large volumes of collected data. Queue storage, File Storage, and Notification Hubs do not fit large-scale sensor ingestion and storage.","False"
"176","multi","Management Tools","You have an Azure web app and need to manage its settings from an iPhone. What are two Azure management tools that you can use? Each correct answer presents a complete solution.","A. Azure CLI | B. the Azure portal | C. Azure Cloud Shell | D. Windows PowerShell | E. Azure Storage Explorer","B,C","the Azure portal; Azure Cloud Shell","The web-based Azure portal and Azure Cloud Shell both run in a browser, so they work from an iPhone. Azure CLI and Windows PowerShell cannot be installed on an iPhone, and Storage Explorer does not manage web apps.","False"
"177","single","AI & Big Data","Your company plans to deploy an Artificial Intelligence (AI) solution in Azure. What should the company use to build, test, and deploy predictive analytics solutions?","A. Azure Logic Apps | B. Azure Machine Learning Designer | C. Azure Batch | D. Azure Cosmos DB","B","Azure Machine Learning Designer","Azure Machine Learning designer provides a visual canvas to build, test, and deploy predictive (machine learning) models. Logic Apps automates workflows, Batch runs parallel compute, and Cosmos DB is a database.","False"
"178","hotspot","Governance","For each statement, select Yes if true, otherwise No. 1) Azure Advisor can generate a list of Azure virtual machines that are protected by Azure Backup. 2) If you implement the security recommendations provided by Azure Advisor, your company's secure score will decrease. 3) To maintain Microsoft support, you must implement the security recommendations provided by Azure Advisor within 30 days.","","No, No, No","1) No  2) No  3) No","Advisor lists VMs that are NOT protected by Backup, implementing security recommendations increases (not decreases) secure score, and recommendations are optionalâ€”there is no 30-day support requirement.","False"
"179","single","Monitoring","What can you use to automatically send an alert if an administrator stops an Azure virtual machine?","A. Azure Advisor | B. Azure Service Health | C. Azure Monitor | D. Azure Network Watcher","C","Azure Monitor","Azure Monitor alerts can trigger on activity log events such as a VM being stopped. Advisor gives recommendations, Service Health covers Azure platform issues, and Network Watcher monitors networking.","False"
"180","drag-drop","AI & Big Data","Match the Azure services to the correct descriptions: Azure Machine Learning, Azure Synapse Analytics, Azure IoT Hub, Azure Functions.","","cloud-based EDW=Azure Synapse Analytics; predictions from past training=Azure Machine Learning; serverless computing=Azure Functions; processes data from millions of sensors=Azure IoT Hub","Provides a cloud-based Enterprise Data Warehouse (EDW) = Azure Synapse Analytics; Uses past trainings to provide high-probability predictions = Azure Machine Learning; Provides serverless computing = Azure Functions; Processes data from millions of sensors = Azure IoT Hub","Synapse Analytics is the enterprise data warehouse, Machine Learning produces predictions, Functions provides serverless compute, and IoT Hub ingests sensor data at scale.","False"
"181","multi","Management Tools","You have an Azure environment and need to create a new Azure virtual machine from a tablet that runs the Android operating system. What are three possible solutions? Each correct answer presents a complete solution.","A. Use Bash in Azure Cloud Shell. | B. Use PowerShell in Azure Cloud Shell. | C. Use the PowerApps portal. | D. Use the Security & Compliance admin center. | E. Use the Azure portal.","A,B,E","Use Bash in Azure Cloud Shell; Use PowerShell in Azure Cloud Shell; Use the Azure portal.","An Android tablet's browser can reach the Azure portal and Cloud Shell (Bash or PowerShell) to create a VM. The PowerApps portal and Security & Compliance admin center do not create Azure VMs.","False"
"182","single","Management Tools","A team of developers plans to deploy, and then remove, 50 virtual machines each week. All the virtual machines are configured by using Azure Resource Manager templates. You need to recommend which Azure service will minimize the administrative effort required to deploy and remove the virtual machines. What should you recommend?","A. Azure Reserved Virtual Machine (VM) Instances | B. Azure DevTest Labs | C. Azure virtual machine scale sets | D. Azure Virtual Desktop","B","Azure DevTest Labs","Azure DevTest Labs uses reusable ARM templates and policies to quickly provision and automatically tear down disposable dev/test environments, minimizing admin effort. Reservations are billing, scale sets are for scaling identical VMs, and Virtual Desktop is for user desktops.","False"
"183","hotspot","Governance","For each statement, select Yes if true, otherwise No. 1) Azure Advisor provides recommendations on how to improve the security of an Azure Active Directory (Azure AD) environment. 2) Azure Advisor provides recommendations on how to reduce the cost of running Azure virtual machines. 3) Azure Advisor provides recommendations on how to configure the network settings on Azure virtual machines.","","No, Yes, No","1) No  2) Yes  3) No","Advisor does not give Azure AD (Microsoft Entra ID) security guidance and does not configure VM network settings, but it does provide cost recommendations for underutilized/idle VMs.","False"
"184","yesno","Management Tools","You created a resource group RG1 and have the command 'az vm create --resource-group RG1 --name VM1 --image UbuntuLTS --generate-ssh-keys'. You need to create VM1 by using the command. Solution: From the Azure portal, launch Azure Cloud Shell and select PowerShell. Run the command in Cloud Shell. Does this meet the goal?","A. Yes | B. No","A","Yes","Azure CLI (az) commands run in the PowerShell experience of Cloud Shell because the CLI is preinstalled, so the command executes successfully.","False"
"185","yesno","Management Tools","You created a resource group RG1 and have the command 'az vm create --resource-group RG1 --name VM1 --image UbuntuLTS --generate-ssh-keys'. Solution: From a computer that runs Windows 10, install Azure CLI. From PowerShell, sign in to Azure and then run the command. Does this meet the goal?","A. Yes | B. No","A","Yes","Once the Azure CLI is installed on Windows 10, az commands run from PowerShell (or Command Prompt), so the command works.","False"
"186","yesno","Management Tools","You created a resource group RG1 and have the command 'az vm create --resource-group RG1 --name VM1 --image UbuntuLTS --generate-ssh-keys'. Solution: From a computer that runs Windows 10, install Azure CLI. From a command prompt, sign in to Azure and then run the command. Does this meet the goal?","A. Yes | B. No","A","Yes","With Azure CLI installed on Windows 10, az commands run from the command prompt, so the command works.","False"
"187","hotspot","Management Tools","Several support engineers plan to manage Azure using Computer1 (Windows 10), Computer2 (Ubuntu), and Computer3 (macOS Mojave). Identify which Azure management tools can be used from each computer.","","Computer1=Azure CLI, Azure portal, Azure PowerShell; Computer2=Azure CLI, Azure portal, Azure PowerShell; Computer3=Azure CLI, Azure portal, Azure PowerShell","Computer1 (Windows 10): The Azure CLI, the Azure portal, and Azure PowerShell; Computer2 (Ubuntu): The Azure CLI, the Azure portal, and Azure PowerShell; Computer3 (macOS): The Azure CLI, the Azure portal, and Azure PowerShell","Azure CLI and Azure PowerShell are cross-platform (Windows, Linux, macOS), and the Azure portal runs in any browser, so all three tools are available on all three operating systems.","False"
"188","hotspot","Governance","Complete the sentence: You can access Compliance Manager from the ___","","Microsoft Service Trust Portal","Microsoft Service Trust Portal","Compliance Manager is reached through the Microsoft Service Trust Portal (the classic entry point; it now also lives in the Microsoft Purview compliance portal). The Microsoft 365 admin center, Azure portal, and Azure AD admin center are not where Compliance Manager is hosted.","True"
"189","hotspot","Governance","Complete the sentence: ___ provide a common platform for deploying objects to a cloud infrastructure and for implementing consistency across the Azure environment.","","Azure Resource Manager templates","Azure Resource Manager templates","ARM templates use declarative JSON to repeatedly deploy identical resources, providing a common deployment platform and consistency. Policies enforce rules, resource groups are containers, and management groups organize subscriptions.","False"
"190","drag-drop","AI & Big Data","Match the Azure service to the correct description: Azure Machine Learning, Azure IoT Hub, Azure Bot Services, Azure Functions.","","digital online assistant with speech support=Azure Bot Services; predictions from past training=Azure Machine Learning; serverless computing=Azure Functions; processes data from millions of sensors=Azure IoT Hub","Provides a digital online assistant that provides speech support = Azure Bot Services; Uses past trainings to provide high-probability predictions = Azure Machine Learning; Provides serverless computing = Azure Functions; Processes data from millions of sensors = Azure IoT Hub","Bot Services builds conversational assistants, Machine Learning produces predictions, Functions provides serverless compute, and IoT Hub ingests sensor telemetry at scale.","False"
"191","yesno","Management Tools","An Azure administrator plans to run a PowerShell script that creates Azure resources. Solution: Run the script from a computer that runs Windows 10 and has the Azure PowerShell module installed. Does this meet the goal?","A. Yes | B. No","A","Yes","A Windows 10 computer with the Azure PowerShell module installed can run the PowerShell script and its Azure cmdlets, so the goal is met.","False"
"192","drag-drop","Compute","Match the Azure services to the correct description: Azure Functions, Azure App Service, Azure virtual machines, Azure Container Instances.","","operating system virtualization=Azure virtual machines; portable environment for virtualized applications=Azure Container Instances; build/deploy/scale web apps=Azure App Service; platform for serverless code=Azure Functions","Provide operating system virtualization = Azure virtual machines; Provide portable environment for virtualized applications = Azure Container Instances; Used to build, deploy, and scale web apps = Azure App Service; Provide a platform for serverless code = Azure Functions","VMs virtualize an operating system, Container Instances package portable containerized apps, App Service hosts web apps, and Functions runs serverless code.","False"
"193","single","Compute","Which service provides serverless computing in Azure?","A. Azure Virtual Machines | B. Azure Functions | C. Azure storage account | D. Azure dedicated hosts","B","Azure Functions","Azure Functions is a serverless compute service that runs event-triggered code without provisioning or managing infrastructure. Virtual Machines and dedicated hosts are IaaS, and a storage account only holds data.","False"
